iter	Logloss
0	0.6913835744
1	0.689632621
2	0.6879668103
3	0.6863020402
4	0.6847040527
5	0.6831249722
6	0.6815265088
7	0.6800950819
8	0.6786762771
9	0.6771428821
10	0.6756901897
11	0.6742278675
12	0.6728224541
13	0.6714364285
14	0.670078605
15	0.6687299251
16	0.6673930854
17	0.666086025
18	0.664833411
19	0.6636785479
20	0.6624216098
21	0.6612831744
22	0.6601142271
23	0.6589785666
24	0.6578412456
25	0.6567687277
26	0.6556290811
27	0.6545883611
28	0.6534888093
29	0.6524346005
30	0.6513945942
31	0.6503577848
32	0.6493823435
33	0.648426801
34	0.6474481066
35	0.6464792424
36	0.6454910435
37	0.6445744675
38	0.6436111915
39	0.6427013739
40	0.6418281066
41	0.6409019803
42	0.6399985785
43	0.6391495753
44	0.6383316634
45	0.6374845425
46	0.636646359
47	0.635834437
48	0.6350378182
49	0.6342641028
50	0.6335415554
51	0.6327944477
52	0.63207417
53	0.6313519735
54	0.630623892
55	0.6299045936
56	0.6291833794
57	0.6284618239
58	0.6277597967
59	0.6270822075
60	0.626435559
61	0.6257869157
62	0.6251092576
63	0.6244965941
64	0.6238732966
65	0.6232401038
66	0.6226298529
67	0.6220019536
68	0.6213957243
69	0.6207857917
70	0.6201903741
71	0.6195925355
72	0.6190139943
73	0.6184362059
74	0.6178669489
75	0.6173358067
76	0.6167825111
77	0.6162469326
78	0.6157082784
79	0.6151765605
80	0.6146491824
81	0.6141129785
82	0.6136030354
83	0.6131101471
84	0.6126167093
85	0.6121379444
86	0.6116709352
87	0.6111814188
88	0.6107391999
89	0.6102819604
90	0.6098131
91	0.6093685703
92	0.6089079191
93	0.6084365381
94	0.607998353
95	0.6075607057
96	0.6071122119
97	0.6066737698
98	0.6062696419
99	0.6058285621
100	0.6053956954
101	0.6049926464
102	0.6045873758
103	0.6041703344
104	0.6037710634
105	0.6033511591
106	0.6029459766
107	0.6025646694
108	0.6021769099
109	0.6017843008
110	0.6014093878
111	0.6010135767
112	0.6006241577
113	0.6002409396
114	0.5998726322
115	0.5994987505
116	0.5991342073
117	0.5987905581
118	0.5984072106
119	0.5980643552
120	0.5977163121
121	0.5973578327
122	0.5970160689
123	0.5966806196
124	0.5963280271
125	0.5959838883
126	0.5956339057
127	0.5953256242
128	0.5949886774
129	0.5946614269
130	0.5943492791
131	0.5940239431
132	0.5937017778
133	0.5933722854
134	0.5930469187
135	0.5927310853
136	0.5924405814
137	0.5921241128
138	0.5918170223
139	0.5915179949
140	0.5911982039
141	0.5908987824
142	0.5905677469
143	0.5902854002
144	0.5899843605
145	0.5896727042
146	0.5893683137
147	0.5890558802
148	0.588763049
149	0.5884633453
150	0.5881829619
151	0.5878885758
152	0.5876241409
153	0.5873503071
154	0.5870960561
155	0.5868317151
156	0.5865617519
157	0.5862740802
158	0.586000119
159	0.5857331044
160	0.5854740559
161	0.5852153405
162	0.5849414554
163	0.5846813848
164	0.5844212559
165	0.5841674023
166	0.5839072503
167	0.5836511651
168	0.583402126
169	0.58315606
170	0.5829020744
171	0.5826547983
172	0.5824182979
173	0.58217362
174	0.5819338665
175	0.581704654
176	0.5814756853
177	0.581225288
178	0.580972903
179	0.5807425651
180	0.5805236647
181	0.5802718813
182	0.5800517176
183	0.5798024996
184	0.5795850872
185	0.5793671771
186	0.5791341279
187	0.5789312607
188	0.5786896285
189	0.5784811874
190	0.5782698163
191	0.5780405557
192	0.5778310881
193	0.5776088081
194	0.5773895231
195	0.5771769795
196	0.5769566336
197	0.5767699659
198	0.5765601151
199	0.5763519885
200	0.5761377644
201	0.5759327376
202	0.5757264789
203	0.5755249215
204	0.5753340826
205	0.5751242071
206	0.5749410799
207	0.5747275474
208	0.5745313872
209	0.5743343324
210	0.5741426389
211	0.5739612888
212	0.573778303
213	0.5735887234
214	0.5734039206
215	0.5732139586
216	0.5730180219
217	0.5728426345
218	0.5726540906
219	0.572456792
220	0.5722757545
221	0.5720946396
222	0.5719360322
223	0.5717552293
224	0.5715760545
225	0.5713990787
226	0.5712253938
227	0.57104408
228	0.5708640708
229	0.570683877
230	0.5704923182
231	0.5703157148
232	0.570136258
233	0.5699500697
234	0.5697678112
235	0.5695889775
236	0.5694191184
237	0.5692454648
238	0.5690791314
239	0.5689107572
240	0.5687531632
241	0.5685844847
242	0.5684128083
243	0.5682567938
244	0.5680809531
245	0.5679158568
246	0.5677604707
247	0.5675926258
248	0.5674412679
249	0.5672806428
250	0.5671258896
251	0.5669648427
252	0.5668025611
253	0.5666516012
254	0.5664926331
255	0.5663371245
256	0.5661753274
257	0.5660190261
258	0.565870256
259	0.5657254105
260	0.5655565603
261	0.5654164573
262	0.5652460929
263	0.5650951533
264	0.5649493029
265	0.5648061311
266	0.5646596393
267	0.5645218936
268	0.5643676016
269	0.5642395504
270	0.5641006867
271	0.5639659508
272	0.5638204961
273	0.56368917
274	0.5635529658
275	0.5634124014
276	0.5632699749
277	0.5631412144
278	0.5629864371
279	0.5628557861
280	0.5627252575
281	0.5625911188
282	0.5624564762
283	0.5623329569
284	0.5622212377
285	0.5621091874
286	0.5619878059
287	0.561873719
288	0.5617545824
289	0.5616164269
290	0.5614743042
291	0.5613417862
292	0.5612100565
293	0.5610901691
294	0.5609617556
295	0.5608379487
296	0.5607049755
297	0.5605829698
298	0.5604664971
299	0.560333959
300	0.5602091506
301	0.5600806764
302	0.5599450718
303	0.5598253776
304	0.5596990682
305	0.5595778449
306	0.5594469032
307	0.5593174887
308	0.5591860738
309	0.5590617257
310	0.5589379834
311	0.558802625
312	0.5586842353
313	0.5585631788
314	0.5584545106
315	0.5583429741
316	0.5582268877
317	0.5581075755
318	0.5579866507
319	0.5578718676
320	0.5577655346
321	0.5576456539
322	0.557532309
323	0.5574105234
324	0.5572909109
325	0.5571660837
326	0.5570544107
327	0.5569379924
328	0.5568220776
329	0.5567111406
330	0.5566046843
331	0.5564982179
332	0.5563921917
333	0.5562878026
334	0.5561761468
335	0.5560715965
336	0.5559566587
337	0.5558509829
338	0.5557547861
339	0.5556479288
340	0.5555486192
341	0.555440966
342	0.5553360857
343	0.5552293038
344	0.5551161227
345	0.5550142372
346	0.5549104414
347	0.5548147707
348	0.5547169927
349	0.5546240914
350	0.5545341386
351	0.5544238765
352	0.5543326873
353	0.5542351182
354	0.554121727
355	0.5540172689
356	0.5539112135
357	0.5538091259
358	0.5537050652
359	0.5536041573
360	0.5535257163
361	0.5534352846
362	0.5533246822
363	0.5532224594
364	0.5531334607
365	0.5530248234
366	0.5529285434
367	0.5528397381
368	0.5527427733
369	0.5526441318
370	0.5525443796
371	0.5524467323
372	0.5523558734
373	0.5522777914
374	0.5521872616
375	0.552099666
376	0.5519984708
377	0.5519162858
378	0.5518228351
379	0.5517259359
380	0.5516474743
381	0.5515574932
382	0.5514663686
383	0.5513888833
384	0.551301864
385	0.5512216151
386	0.5511238532
387	0.5510347814
388	0.5509422381
389	0.5508488504
390	0.5507548126
391	0.5506695336
392	0.5505729142
393	0.550476678
394	0.550408393
395	0.5503253169
396	0.55023286
397	0.5501339482
398	0.5500410526
399	0.5499452223
400	0.5498722179
401	0.5497943241
402	0.5496918961
403	0.5496094706
404	0.549533304
405	0.5494551881
406	0.5493757507
407	0.5493082785
408	0.5492220151
409	0.5491499789
410	0.5490700602
411	0.548997686
412	0.5488988455
413	0.5488232913
414	0.5487428564
415	0.548664371
416	0.548586456
417	0.5485009463
418	0.5484351696
419	0.5483608802
420	0.5482801393
421	0.5482027706
422	0.5481343685
423	0.5480383232
424	0.5479674621
425	0.5478984682
426	0.5478295551
427	0.5477551112
428	0.5476812815
429	0.547612542
430	0.5475331963
431	0.5474616331
432	0.5473838165
433	0.5473081735
434	0.5472353256
435	0.5471693648
436	0.5470941448
437	0.547019348
438	0.5469506209
439	0.5468594841
440	0.5467999937
441	0.5467337718
442	0.5466622355
443	0.5465900893
444	0.5465203126
445	0.5464364318
446	0.5463594721
447	0.5462850789
448	0.546216997
449	0.5461476618
450	0.546082449
451	0.5460020633
452	0.5459326517
453	0.5458689038
454	0.5457925754
455	0.5457128524
456	0.5456488616
457	0.5455792837
458	0.5455071429
459	0.5454427984
460	0.5453843599
461	0.5453182377
462	0.5452468983
463	0.5451790341
464	0.5451108469
465	0.5450370175
466	0.544974252
467	0.5449052195
468	0.5448344097
469	0.5447586944
470	0.5446813105
471	0.5446250984
472	0.5445477863
473	0.5444826969
474	0.5444186221
475	0.5443537629
476	0.5442952421
477	0.5442383399
478	0.5441707368
479	0.5441047475
480	0.5440419767
481	0.5439697819
482	0.5439020769
483	0.5438418248
484	0.5437806456
485	0.5437123366
486	0.5436588039
487	0.5435994047
488	0.543546219
489	0.5434718509
490	0.5434095337
491	0.5433321868
492	0.5432631961
493	0.5432044179
494	0.5431300729
495	0.5430765769
496	0.5430239234
497	0.5429506964
498	0.5428809984
499	0.5428289922
500	0.5427536385
501	0.5426876413
502	0.5426283129
503	0.5425791594
504	0.5425120244
505	0.5424541905
506	0.5423881318
507	0.5423135234
508	0.5422550259
509	0.5421887289
510	0.5421162539
511	0.5420454661
512	0.5419907735
513	0.5419312703
514	0.5418742438
515	0.5418033569
516	0.5417343264
517	0.5416776982
518	0.5416302103
519	0.5415815974
520	0.5415060385
521	0.5414375883
522	0.5413844088
523	0.5413099841
524	0.5412538602
525	0.5411956413
526	0.5411301171
527	0.5410609701
528	0.5410084134
529	0.5409368044
530	0.5408864764
531	0.5408159957
532	0.5407580219
533	0.5406939178
534	0.5406266226
535	0.540576415
536	0.5405194257
537	0.5404687683
538	0.5404152039
539	0.5403632119
540	0.5403165032
541	0.5402499808
542	0.54019587
543	0.5401375422
544	0.5400892885
545	0.5400191145
546	0.5399589345
547	0.5398873971
548	0.5398274269
549	0.5397730592
550	0.539719588
551	0.5396583766
552	0.5395862866
553	0.5395324105
554	0.5394706362
555	0.5394040679
556	0.5393417998
557	0.5392841074
558	0.539227124
559	0.5391707773
560	0.5391181494
561	0.5390674169
562	0.5390052373
563	0.5389529023
564	0.5388934788
565	0.538848791
566	0.5387911661
567	0.5387445137
568	0.5386916715
569	0.5386391197
570	0.5386013502
571	0.5385431648
572	0.5384908063
573	0.5384432448
574	0.5383815912
575	0.538322686
576	0.5382670079
577	0.5382147554
578	0.5381551887
579	0.5380966864
580	0.538051915
581	0.5379894652
582	0.5379250842
583	0.5378721595
584	0.5378029948
585	0.5377552447
586	0.5376903112
587	0.5376477572
588	0.5376032402
589	0.5375452041
590	0.5374917014
591	0.5374367048
592	0.5373896949
593	0.5373385537
594	0.5372937449
595	0.5372350132
596	0.5371786519
597	0.5371227842
598	0.5370760082
599	0.5370218863
600	0.5369619387
601	0.5369141459
602	0.5368641512
603	0.5368154638
604	0.5367606767
605	0.5367033875
606	0.5366614918
607	0.5366063715
608	0.5365502612
609	0.5365151352
610	0.5364678142
611	0.5364240668
612	0.5363595369
613	0.5363040024
614	0.5362615166
615	0.5361989431
616	0.536138969
617	0.5360791844
618	0.5360304745
619	0.5359931118
620	0.5359441678
621	0.5358817966
622	0.5358344232
623	0.5357936282
624	0.5357325645
625	0.5356808088
626	0.5356230322
627	0.53556448
628	0.535517514
629	0.5354550042
630	0.5354023627
631	0.5353626607
632	0.5353113948
633	0.5352738085
634	0.5352229505
635	0.5351717121
636	0.5351331976
637	0.5350945638
638	0.5350492983
639	0.5350092362
640	0.5349815108
641	0.5349296941
642	0.5348865167
643	0.534832713
644	0.5347952436
645	0.5347393418
646	0.5346974938
647	0.5346510236
648	0.5345995537
649	0.5345442199
650	0.5344981556
651	0.5344543718
652	0.5344135181
653	0.5343627848
654	0.5343065681
655	0.5342538847
656	0.5341996253
657	0.5341394939
658	0.5340923165
659	0.534048485
660	0.5340150385
661	0.5339741313
662	0.5339347547
663	0.533884581
664	0.533843162
665	0.5337876823
666	0.5337462937
667	0.533699458
668	0.5336583759
669	0.5336169276
670	0.5335780716
671	0.5335242266
672	0.5334812496
673	0.5334398886
674	0.533407657
675	0.533367761
676	0.5333216798
677	0.5332900062
678	0.5332439912
679	0.533186956
680	0.533129616
681	0.5330853414
682	0.5330334636
683	0.5329889337
684	0.5329429615
685	0.5328895442
686	0.5328510614
687	0.5328080009
688	0.5327637907
689	0.5327163937
690	0.5326554233
691	0.5326057678
692	0.532551339
693	0.5325026861
694	0.532457663
695	0.5324099459
696	0.53237861
697	0.5323300133
698	0.5322851414
699	0.5322355407
700	0.5321912746
701	0.5321369182
702	0.53209133
703	0.5320370172
704	0.5320049337
705	0.5319585496
706	0.5319248891
707	0.5318818419
708	0.5318509168
709	0.531814481
710	0.5317836803
711	0.5317263635
712	0.5316912958
713	0.5316358779
714	0.5315967457
715	0.5315537671
716	0.531510906
717	0.5314575066
718	0.5314105568
719	0.5313641528
720	0.5313172403
721	0.5312726157
722	0.531225775
723	0.5311688838
724	0.5311218366
725	0.5310896569
726	0.5310368459
727	0.530985557
728	0.5309395643
729	0.5309002454
730	0.5308472845
731	0.5307920964
732	0.5307461767
733	0.5306973221
734	0.5306475195
735	0.5306038022
736	0.5305598269
737	0.5305069168
738	0.5304673761
739	0.530427867
740	0.5304017426
741	0.5303699821
742	0.5303352173
743	0.5302939327
744	0.5302575238
745	0.5302289297
746	0.530205067
747	0.5301698612
748	0.5301260766
749	0.5300927768
750	0.5300461741
751	0.5300011305
752	0.5299684272
753	0.5299272773
754	0.5298765412
755	0.5298394211
756	0.5298000122
757	0.5297479393
758	0.5297233794
759	0.529671991
760	0.5296349739
761	0.529601908
762	0.5295684756
763	0.5295183179
764	0.529479868
765	0.5294338208
766	0.5294011537
767	0.5293709733
768	0.5293287054
769	0.5292943879
770	0.529259137
771	0.5292335662
772	0.5291933774
773	0.5291524512
774	0.5291194431
775	0.5290858857
776	0.5290538797
777	0.5290076665
778	0.5289618962
779	0.5289198331
780	0.5288913764
781	0.5288463922
782	0.5287895824
783	0.5287607552
784	0.5287238757
785	0.528680932
786	0.5286410484
787	0.528612356
788	0.5285735799
789	0.5285369996
790	0.5285015595
791	0.528469735
792	0.5284252589
793	0.5283688492
794	0.5283271365
795	0.5282909029
796	0.5282406835
797	0.5282120073
798	0.5281715874
799	0.5281275309
800	0.5280774502
801	0.5280414519
802	0.5279931183
803	0.527953842
804	0.5279162485
805	0.5278689287
806	0.5278303228
807	0.5277820797
808	0.5277559018
809	0.5277153079
810	0.5276825679
811	0.5276398013
812	0.527593228
813	0.5275487882
814	0.5275133532
815	0.5275119504
816	0.5274568468
817	0.5274259569
818	0.5273876222
819	0.5273559155
820	0.5273176525
821	0.527291891
822	0.5272404414
823	0.5271946977
824	0.527155655
825	0.527113071
826	0.5270708846
827	0.5270227251
828	0.5269706003
829	0.5269348138
830	0.526893983
831	0.526852352
832	0.5268264449
833	0.5267971055
834	0.5267538906
835	0.5267072596
836	0.5266735586
837	0.5266438963
838	0.5266049392
839	0.5265748155
840	0.5265353443
841	0.526486884
842	0.5264523126
843	0.5264144435
844	0.5263771501
845	0.5263347207
846	0.5263122901
847	0.5262819086
848	0.5262420555
849	0.5262073235
850	0.5261593898
851	0.526118779
852	0.5260852709
853	0.526031805
854	0.5259818528
855	0.5259407671
856	0.5259064859
857	0.5258743846
858	0.5258343377
859	0.5257849158
860	0.52574179
861	0.5256894838
862	0.5256517872
863	0.5256233176
864	0.5255929013
865	0.5255602212
866	0.5255168805
867	0.5254816796
868	0.5254528228
869	0.5254224552
870	0.52538076
871	0.5253434041
872	0.5253106846
873	0.5252784573
874	0.5252419528
875	0.5252032264
876	0.5251606722
877	0.5251312448
878	0.5250842754
879	0.525052672
880	0.5250057793
881	0.5249633973
882	0.5249372649
883	0.5249026444
884	0.5248649254
885	0.5248300051
886	0.5248012436
887	0.5247728477
888	0.524732365
889	0.5246879668
890	0.5246551155
891	0.5246126107
892	0.5245692325
893	0.524526358
894	0.5245075436
895	0.524465283
896	0.5244247717
897	0.5243931497
898	0.5243770048
899	0.5243357809
900	0.5242977112
901	0.5242551214
902	0.5242239951
903	0.5241849115
904	0.5241476557
905	0.5241087466
906	0.5240748487
907	0.5240360234
908	0.5240001456
909	0.5239793226
910	0.5239530115
911	0.523924629
912	0.5238897159
913	0.5238568015
914	0.523827373
915	0.5237901729
916	0.5237518619
917	0.5237164757
918	0.5236709948
919	0.523628157
920	0.5235849133
921	0.5235454873
922	0.5234988229
923	0.5234681145
924	0.5234240991
925	0.5233845189
926	0.5233471998
927	0.5233145146
928	0.5232873868
929	0.5232609745
930	0.5232268663
931	0.5231970626
932	0.5231599001
933	0.5231329459
934	0.5231028924
935	0.5230505636
936	0.52302104
937	0.5229761586
938	0.5229349732
939	0.5228977649
940	0.5228671494
941	0.5228297727
942	0.5227881502
943	0.5227504281
944	0.5226996263
945	0.5226552423
946	0.5226234811
947	0.5225848754
948	0.5225687718
949	0.5225371344
950	0.522497276
951	0.522470531
952	0.5224277383
953	0.522386698
954	0.5223410123
955	0.522293452
956	0.5222642612
957	0.522232939
958	0.5221910051
959	0.5221654319
960	0.5221353794
961	0.5220956244
962	0.52206255
963	0.5220383576
964	0.522001619
965	0.5219726591
966	0.5219331895
967	0.5218858342
968	0.5218337846
969	0.5218030042
970	0.5217703259
971	0.5217436848
972	0.5217081473
973	0.5216835042
974	0.5216534074
975	0.5216507427
976	0.521611348
977	0.5215797664
978	0.5215558518
979	0.5215180167
980	0.5214907981
981	0.5214638314
982	0.521429883
983	0.5214021592
984	0.5213630963
985	0.5213303363
986	0.5212915103
987	0.5212389515
988	0.5212166609
989	0.5211736847
990	0.5211461135
991	0.521105627
992	0.5210563153
993	0.521030623
994	0.5209944301
995	0.520971481
996	0.5209391811
997	0.5208972069
998	0.5208586098
999	0.5208164216
1000	0.5207928937
1001	0.5207613008
1002	0.5207344816
1003	0.5207116037
1004	0.520669769
1005	0.5206468655
1006	0.5206161424
1007	0.5205856091
1008	0.520538784
1009	0.5204982591
1010	0.5204657927
1011	0.5204325613
1012	0.5204144824
1013	0.5203777984
1014	0.5203423495
1015	0.5203146461
1016	0.5202952673
1017	0.5202490818
1018	0.520221548
1019	0.5202027975
1020	0.5201693363
1021	0.5201436425
1022	0.5201122391
1023	0.5200776484
1024	0.5200524478
1025	0.520012365
1026	0.5199872031
1027	0.5199658451
1028	0.5199250453
1029	0.5198793446
1030	0.5198382775
1031	0.5197943261
1032	0.519765724
1033	0.5197443657
1034	0.5197083114
1035	0.5196771091
1036	0.5196439996
1037	0.5196164738
1038	0.5195768927
1039	0.5195358137
1040	0.5195075306
1041	0.5194696025
1042	0.5194371098
1043	0.5193999007
1044	0.5193684805
1045	0.5193255937
1046	0.5192962847
1047	0.5192665426
1048	0.5192401049
1049	0.519206713
1050	0.5191751413
1051	0.5191365034
1052	0.5191039842
1053	0.519053688
1054	0.5190159708
1055	0.5189732945
1056	0.5189717567
1057	0.5189288184
1058	0.5188800281
1059	0.5188475594
1060	0.5188263225
1061	0.518807634
1062	0.5187703049
1063	0.5187461872
1064	0.5187114344
1065	0.5186731114
1066	0.5186378745
1067	0.518608928
1068	0.5185851254
1069	0.5185468758
1070	0.5185205204
1071	0.5184784457
1072	0.5184385876
1073	0.5184029345
1074	0.5183696815
1075	0.5183314993
1076	0.5182908415
1077	0.5182637536
1078	0.5182141698
1079	0.5181851458
1080	0.5181554644
1081	0.5181288071
1082	0.5180927083
1083	0.5180525908
1084	0.5180131957
1085	0.5179841849
1086	0.5179459141
1087	0.5179169541
1088	0.5178842826
1089	0.5178542826
1090	0.5178230312
1091	0.5178011866
1092	0.5177652262
1093	0.5177325957
1094	0.5176912911
1095	0.5176694598
1096	0.5176268686
1097	0.5175970197
1098	0.5175819398
1099	0.5175455553
1100	0.5175120307
1101	0.5174866972
1102	0.5174577849
1103	0.5174248799
1104	0.5173913671
1105	0.5173584086
1106	0.5173308954
1107	0.5172925515
1108	0.5172591063
1109	0.5172254418
1110	0.5172086156
1111	0.5171870634
1112	0.517147531
1113	0.5171297306
1114	0.5171124778
1115	0.5170770478
1116	0.517052256
1117	0.5170316465
1118	0.516989656
1119	0.5169596062
1120	0.5169231251
1121	0.5168903714
1122	0.5168566211
1123	0.516827985
1124	0.5167979154
1125	0.5167757724
1126	0.5167355743
1127	0.5167045994
1128	0.5166670951
1129	0.5166291658
1130	0.5165835118
1131	0.5165369298
1132	0.5164930012
1133	0.5164589246
1134	0.5164413827
1135	0.51641508
1136	0.516382894
1137	0.5163540185
1138	0.5163159623
1139	0.5162774091
1140	0.5162325021
1141	0.5162004425
1142	0.516163474
1143	0.5161256929
1144	0.5160854744
1145	0.5160674872
1146	0.5160406116
1147	0.5160149095
1148	0.5160049903
1149	0.5159594841
1150	0.5159208136
1151	0.5158798959
1152	0.5158616093
1153	0.5158243306
1154	0.515798688
1155	0.5157844525
1156	0.5157520522
1157	0.5157211194
1158	0.5156990342
1159	0.5156607818
1160	0.5156363314
1161	0.515591877
1162	0.5155568017
1163	0.515539682
1164	0.5155032612
1165	0.515478249
1166	0.5154367803
1167	0.515405861
1168	0.5153688571
1169	0.5153235051
1170	0.5152943952
1171	0.5152576792
1172	0.5152253532
1173	0.515182856
1174	0.5151504274
1175	0.5151116363
1176	0.5150906639
1177	0.5150663983
1178	0.5150333406
1179	0.5149971982
1180	0.5149650181
1181	0.5149217996
1182	0.5148849233
1183	0.5148496445
1184	0.514823147
1185	0.514784089
1186	0.5147473226
1187	0.5147077063
1188	0.5146940646
1189	0.5146618201
1190	0.5146319094
1191	0.5146100068
1192	0.514588469
1193	0.5145564497
1194	0.5145401276
1195	0.5144988414
1196	0.514461924
1197	0.5144217901
1198	0.5143934531
1199	0.5143616277
1200	0.5143236563
1201	0.5143013936
1202	0.5142606675
1203	0.5142433201
1204	0.5142158736
1205	0.514168235
1206	0.5141374927
1207	0.5141024806
1208	0.5140570326
1209	0.5140210785
1210	0.513998675
1211	0.5139675073
1212	0.5139398072
1213	0.5139070058
1214	0.5138797111
1215	0.5138603665
1216	0.5138300664
1217	0.5137952014
1218	0.5137622506
1219	0.5137329182
1220	0.5137142451
1221	0.5136821948
1222	0.5136400241
1223	0.5136242846
1224	0.5135934662
1225	0.5135634444
1226	0.5135301767
1227	0.5134952969
1228	0.5134730128
1229	0.513447404
1230	0.5134074315
1231	0.513374614
1232	0.5133349223
1233	0.5132971064
1234	0.5132750194
1235	0.5132415752
1236	0.5132086449
1237	0.5131780867
1238	0.5131433024
1239	0.5131234803
1240	0.5130807871
1241	0.5130491141
1242	0.5130208545
1243	0.5129912863
1244	0.5129514065
1245	0.5129215305
1246	0.5128988676
1247	0.5128743005
1248	0.512845333
1249	0.5128009987
1250	0.5127823478
1251	0.5127433086
1252	0.5127141116
1253	0.5126702864
1254	0.5126365115
1255	0.5126068892
1256	0.5125862924
1257	0.5125557673
1258	0.5125155016
1259	0.5124881834
1260	0.5124635531
1261	0.5124238702
1262	0.5123939107
1263	0.5123633781
1264	0.5123271901
1265	0.5123099822
1266	0.5122704049
1267	0.51224334
1268	0.5122103968
1269	0.5121813395
1270	0.5121573685
1271	0.5121366391
1272	0.5121118059
1273	0.5120690705
1274	0.512033685
1275	0.5119887937
1276	0.5119472233
1277	0.5119143215
1278	0.5118908944
1279	0.5118599952
1280	0.5118256147
1281	0.51178794
1282	0.5117449771
1283	0.511707457
1284	0.5116739398
1285	0.5116429781
1286	0.5116120926
1287	0.5115648766
1288	0.5115343391
1289	0.5114929279
1290	0.5114692607
1291	0.51143319
1292	0.5113946626
1293	0.5113643862
1294	0.5113357497
1295	0.5113024325
1296	0.5112636188
1297	0.5112425587
1298	0.5112111657
1299	0.5111775163
1300	0.5111561253
1301	0.5111143241
1302	0.5110785476
1303	0.5110526134
1304	0.5110289234
1305	0.5109900119
1306	0.5109672088
1307	0.5109230202
1308	0.5108950355
1309	0.5108601499
1310	0.5108365436
1311	0.5108037027
1312	0.5107768267
1313	0.5107566427
1314	0.510717867
1315	0.5106952122
1316	0.5106532609
1317	0.510637371
1318	0.5106123405
1319	0.5105893022
1320	0.5105692425
1321	0.510546732
1322	0.510533985
1323	0.5104858537
1324	0.510444311
1325	0.5104136798
1326	0.5103755999
1327	0.5103492405
1328	0.5103021649
1329	0.5102749285
1330	0.5102467231
1331	0.5102138044
1332	0.510173509
1333	0.5101292968
1334	0.5100972798
1335	0.5100624533
1336	0.5100419164
1337	0.5100091347
1338	0.5099837599
1339	0.5099616582
1340	0.5099283939
1341	0.5098950008
1342	0.5098645116
1343	0.5098467599
1344	0.5098265425
1345	0.5097888702
1346	0.5097548654
1347	0.5097182744
1348	0.5096807316
1349	0.5096471505
1350	0.509625504
1351	0.5095906529
1352	0.5095684945
1353	0.5095277323
1354	0.5095018283
1355	0.5094786041
1356	0.5094587281
1357	0.509439939
1358	0.5093994354
1359	0.5093777858
1360	0.5093492279
1361	0.5093274546
1362	0.5092940631
1363	0.5092690787
1364	0.5092363203
1365	0.5092140231
1366	0.5091795554
1367	0.5091517098
1368	0.5091266322
1369	0.5091038079
1370	0.5090803979
1371	0.5090532082
1372	0.5090257749
1373	0.5089863756
1374	0.5089669629
1375	0.508947396
1376	0.5089154036
1377	0.5088818694
1378	0.5088512194
1379	0.5088235547
1380	0.5087845285
1381	0.5087468301
1382	0.5087154889
1383	0.5086994717
1384	0.5086677494
1385	0.5086373959
1386	0.5086086766
1387	0.5085818919
1388	0.5085551691
1389	0.5085235286
1390	0.5084988309
1391	0.508467795
1392	0.5084216015
1393	0.5083875757
1394	0.5083692288
1395	0.5083294406
1396	0.5083009268
1397	0.5082699453
1398	0.5082437166
1399	0.5081983162
1400	0.5081551983
1401	0.5081193549
1402	0.5080777303
1403	0.5080385797
1404	0.5080016274
1405	0.5079627115
1406	0.5079178697
1407	0.5078745655
1408	0.5078493788
1409	0.5078276882
1410	0.5078030847
1411	0.507769851
1412	0.5077256226
1413	0.5076941521
1414	0.5076622554
1415	0.5076308304
1416	0.507600483
1417	0.5075817861
1418	0.5075567428
1419	0.5075293254
1420	0.5074944937
1421	0.5074621244
1422	0.5074300695
1423	0.5074060661
1424	0.5073777146
1425	0.5073360998
1426	0.5072999547
1427	0.507268168
1428	0.5072431927
1429	0.5072082448
1430	0.5071765629
1431	0.5071489822
1432	0.5071255497
1433	0.507081148
1434	0.507043754
1435	0.5070222316
1436	0.5070034374
1437	0.5069779761
1438	0.5069623211
1439	0.5069305304
1440	0.506889553
1441	0.5068646867
1442	0.5068355688
1443	0.5067973048
1444	0.5067748288
1445	0.506732665
1446	0.5066916364
1447	0.5066566608
1448	0.5066260642
1449	0.5066037678
1450	0.5065782878
1451	0.5065342992
1452	0.5065166663
1453	0.5064736629
1454	0.5064384674
1455	0.5064109499
1456	0.5063955647
1457	0.5063640472
1458	0.5063447366
1459	0.5063190027
1460	0.5062883596
1461	0.5062454856
1462	0.5062157697
1463	0.5061883727
1464	0.506171787
1465	0.5061448426
1466	0.5061037061
1467	0.5060766546
1468	0.5060588729
1469	0.5060409295
1470	0.5060174917
1471	0.505985335
1472	0.5059600654
1473	0.5059275542
1474	0.5058974754
1475	0.5058711273
1476	0.505837709
1477	0.5058148708
1478	0.5057853096
1479	0.5057582225
1480	0.5057341141
1481	0.5057043873
1482	0.5056894951
1483	0.5056601184
1484	0.5056360505
1485	0.505617361
1486	0.5055848127
1487	0.5055675363
1488	0.5055308038
1489	0.5055039423
1490	0.5054692417
1491	0.5054466057
1492	0.5054300216
1493	0.5054111534
1494	0.5053798597
1495	0.5053509803
1496	0.505328145
1497	0.5052954644
1498	0.5052555062
1499	0.5052317952
1500	0.5051856714
1501	0.5051663766
